AVERAGE GRADE
91.89
84.94
85.75
82.86
81.55
84.75
82.74
82.27
84.13
85.94
86.89
85.39
91.84
80.83
81.78
84.31
87.51
91.30
88.64
93.89
92.01
88.04
90.13
83.67
92.58
86.68
79.79
82.74
80.49
90.00
86.14
84.82
89.58
88.15
89.72
85.47
87.53
85.20
88.75
87.73
84.61
94.64
91.25
93.33
78.94
81.45
92.43
82.67
88.00
84.60
94.05
85.44
82.67
83.35
89.10
86.23
86.27
85.00
88.50
88.18
87.31
83.83
88.09
83.36
83.13
83.69
89.59
88.77
91.89
84.37
83.38
89.36
85.87
86.43
93.01
90.35
92.85
88.81
89.43
87.62
90.45
84.23
92.35
93.57
90.33
89.29
88.65
87.11
84.34
83.49
90.31
84.28
89.18
91.30
88.92
83.77
84.30
86.36
END
