# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams,Exam Weight,# Quizzes,Quiz Weight,Attend/Misc Weight
13,0.20,0,0.00,1,0.35,3,0.45,0,0.00,0.00
0,0.00,0,0.00,1,0.30,2,0.50,12,0.20,0.00
0,0.00,0,0.00,1,0.35,2,0.50,12,0.15,0.00
11,0.10,0,0.00,1,0.30,3,0.50,9,0.10,0.00
10,0.15,0,0.00,1,0.30,2,0.40,0,0.00,0.15
12,0.15,0,0.00,1,0.35,2,0.50,0,0.00,0.00
0,0.00,0,0.00,1,0.30,2,0.50,10,0.10,0.10
12,0.10,3,0.15,1,0.25,2,0.40,12,0.05,0.05
12,0.20,0,0.00,1,0.35,3,0.45,0,0.00,0.00
0,0.00,0,0.00,1,0.30,2,0.50,12,0.20,0.00
11,0.10,0,0.00,1,0.30,3,0.50,9,0.10,0.00
21,0.40,0,0.00,0,0.00,3,0.55,0,0.00,0.05
9,0.10,0,0.00,1,0.40,2,0.45,0,0.00,0.05
12,0.10,3,0.15,1,0.25,2,0.40,12,0.05,0.05
21,0.40,0,0.00,0,0.00,3,0.55,0,0.00,0.05
12,0.15,0,0.00,1,0.35,3,0.45,0,0.00,0.05
10,0.15,0,0.00,1,0.30,2,0.40,3,0.15,0.00
10,0.10,0,0.00,1,0.35,2,0.40,4,0.10,0.05
38,0.49,2,0.51,0,0.00,0,0.00,0,0.00,0.00
6,0.15,2,0.25,0,0.00,3,0.60,0,0.00,0.00
5,0.30,4,0.45,0,0.00,0,0.00,4,0.15,0.10
0,0.00,3,1.00,0,0.00,0,0.00,0,0.00,0.00
12,0.20,1,0.35,0,0.00,0,0.00,2,0.40,0.05
4,0.40,1,0.20,0,0.00,2,0.40,0,0.00,0.00
12,0.20,1,0.30,0,0.00,2,0.50,0,0.00,0.00
12,0.15,0,0.00,1,0.20,3,0.60,21,0.05,0.00
14,0.20,1,0.10,1,0.30,2,0.35,0,0.00,0.05
5,0.50,4,0.40,0,0.00,0,0.00,0,0.00,0.10
0,0.00,1,0.50,0,0.00,2,0.40,0,0.00,0.10
13,0.20,3,0.55,0,0.00,3,0.20,30,0.05,0.00
8,0.14,0,0.00,1,0.25,3,0.45,0,0.00,0.16
12,0.05,0,0.00,1,0.30,3,0.55,15,0.10,0.00
9,0.27,5,0.49,0,0.00,0,0.00,5,0.15,0.09
11,0.20,0,0.00,1,0.40,2,0.40,0,0.00,0.00
12,0.15,3,0.15,1,0.25,3,0.40,15,0.05,0.00
13,0.20,5,0.50,0,0.00,3,0.20,30,0.10,0.00
14,0.15,0,0.00,1,0.35,2,0.50,0,0.00,0.00
12,0.20,0,0.00,1,0.20,2,0.30,12,0.25,0.05
12,0.20,0,0.00,1,0.20,2,0.30,12,0.25,0.05
13,0.10,0,0.00,1,0.25,2,0.50,11,0.10,0.05
9,0.30,1,0.15,1,0.20,2,0.35,0,0.00,0.00
9,0.30,1,0.15,1,0.20,2,0.35,0,0.00,0.00
9,0.30,1,0.15,1,0.20,2,0.35,0,0.00,0.00
END,END,END,END,END,END,END,END,END,END,END
