"IF YOU HAVE A COURSE THAT YOU CAN NOT FIND THE SYLLABUS FOR, PLEASE ADD IT TO THE OTHER SHEET",,,,,,,,,,,,,,,,,,,,
,BLUE - UD,ORANGE - UT,RED - UWM,,,,,,,,,,,,,,,,,
,FEATURES,,,,,,,,,,,,OUTPUTS (% Of Students in Each Bucket),,,,,,"""Average Grade""","*the average grade in the class is estimated by assuming A to be a 95, B is an 85, C is 75, D is a 65, and F is a 30"
Course Code,# HWs,HW Weight,# Project Assignments,Project Weight,# Final exam,Final Weight,# Other Exams,Exam Weight,# Quizzes,Quiz Weight,Attend/Misc Weight,TOTAL SUM (CHECK THAT IT'S 1),Class F,Class D,Class C,Class B,Class A,TOTAL SUM % (CHECK THAT IT'S 100%),,
COE322 - 23F,21,0.70,1,0.30,0,0.00,0,0.00,0,0.00,0.00,1.00,3.77,1.89,3.77,15.09,75.48,100.00,89.72,
CS303 - 22F - 001,15,0.15,3,0.30,1,0.20,1,0.20,6,0.15,0.00,1.00,5.37,5.37,8.72,26.85,53.69,100.00,85.47,
CS303 - 22F - 002,15,0.15,3,0.30,1,0.20,1,0.20,6,0.15,0.00,1.00,3.21,1.92,10.90,26.28,57.69,100.00,87.53,
CS303 - 22F - 003,15,0.15,3,0.30,1,0.20,1,0.20,6,0.15,0.00,1.00,6.54,2.61,15.03,17.65,58.17,100.00,85.20,
CS314 HONORS - 22F,7,0.50,0,0.00,1,0.30,1,0.20,0,0.00,0.00,1.00,0.00,2.50,7.50,40.00,50.00,100.00,88.75,
CS314 HONORS - 23F,7,0.55,0,0.00,0,0.00,2,0.45,0,0.00,0.00,1.00,0.00,0.00,18.18,36.37,45.45,100.00,87.73,
CS314 - 23F,11,0.22,0,0.00,1,0.24,2,0.49,10,0.05,0.00,1.00,2.42,5.14,18.72,35.35,38.37,100.00,84.61,
ECE381V - 21F Wang Sec 17035,0,0.00,4,0.60,0,0.00,0,0.00,3,0.30,0.10,1.00,0.00,0.00,0.00,3.57,96.43,100.00,94.64,
ECE381V - 21F Harwath Sec 17055,11,0.60,1,0.40,0,0.00,0,0.00,0,0.00,0.00,1.00,0.00,0.00,12.50,12.50,75.00,100.00,91.25,
ECE382N - 21 F Swartzlander Sec 17115,15,0.05,1,0.35,0,0.00,3,0.60,0,0.00,0.00,1.00,0.00,0.00,2.08,12.50,85.42,100.00,93.33,
